id,pillar,topic,key_message,cta,notes,status,scheduled_for,caption,image_url,fb_post_id,posted_at,likes,comments,shares,reach
FP-001,feature spotlight,Offline maps work with zero signal offshore,Download the map on Wi-Fi once and use it forever at sea,I-download sa Play Store,,ready,,,,,,,,,
FP-002,feature spotlight,Save a fishing spot and navigate back to it exactly,Hindi na mawawala ang magandang tagpuan,I-download sa Play Store,,ready,,,,,,,,,
FP-003,safety,SOS sends your exact coordinates to saved contacts by SMS,Mas mabilis kang mahanap kung may aberya sa laot,I-download sa Play Store,Serious tone. No sales pressure. Never promise rescue.,ready,,,,,,,,,
FP-004,safety,Tell family when you will be back and record your path,Alam ng pamilya kung saan ka at kailan ka uuwi,I-download sa Play Store,Serious tone. Speak to the wives and children too.,ready,,,,,,,,,
FP-005,fish fact,Species of the day from the 200+ fish guide,Alamin ang local name season at habitat,I-download sa Play Store,Square 1:1 image. Say generally considered safe to eat.,ready,,,,,,,,,
FP-006,fish fact,Local name season and habitat of a common catch,Mas madaling mahuli kung alam mo ang ugali nito,I-download sa Play Store,Square 1:1 image. Say generally considered safe to eat.,ready,,,,,,,,,
FP-007,tip or how-to,How to mark a spot properly so you can find it again,Gamitin ang kulay at icon para madaling makilala,I-download sa Play Store,,ready,,,,,,,,,
FP-008,cost comparison,One-time purchase versus a handheld GPS device,Isang bayad lang walang buwanang load o subscription,I-download sa Play Store,Compare to a GPS device generically. Never name a brand. Never state a figure for either side.,ready,,,,,,,,,
FP-009,social proof,Real user screenshot or quote,Totoong mangingisda totoong karanasan,I-download sa Play Store,BLOCKED. Needs a real screenshot review or quote from Robert. Never fabricate.,blocked_needs_asset,,,,,,,,,
FP-010,behind the scenes,Built in the Philippines by a Filipino developer,Gawa ng Pilipino para sa Pilipinong mangingisda,I-download sa Play Store,,ready,,,,,,,,,
